time,camera_x,camera_y,camera_z,lookat_x,lookat_y,lookat_z
190,171.01007166283446,20,469.84631039295414,433.0127018922196,0,249.99999999999952
191,187.30329670795595,20,463.5919272833937,419.33528397271226,0,272.3195175075132
192,203.36832153790024,20,456.7727288213004,404.50849718747384,0,293.89262614623635
193,219.18557339453866,20,449.3970231495835,388.5729807284855,0,314.66019552491866
194,234.73578139294517,20,441.47379642946356,371.5724127386971,0,334.5653031794291
195,250.0,20,433.0127018922193,353.5533905932736,0,353.5533905932739
196,264.95963211660234,20,424.02404807821307,334.56530317942884,0,371.5724127386973
197,279.5964517353735,20,414.5187862775208,314.660195524919,0,388.57298072848516
198,293.89262614623647,20,404.5084971874738,293.8926261462368,0,404.50849718747355
199,307.8307376628292,20,394.0053768033609,272.31951750751364,0,419.335283972712
200,321.3938048432696,20,383.0222215594891,249.99999999999997,0,433.01270189221935
201,334.56530317942924,20,371.57241273869704,226.99524986977323,0,445.503262094184
202,347.32918522949865,20,359.6699001693256,203.3683215378998,0,456.7727288213006
203,359.6699001693254,20,347.3291852294988,179.18397477265052,0,466.7902132486007
204,371.5724127386971,20,334.5653031794291,154.50849718747398,0,475.5282581475767
205,383.0222215594889,20,321.3938048432698,129.40952255126052,0,482.9629131445341
206,394.005376803361,20,307.8307376628291,103.95584540887964,0,489.07380036690284
207,404.5084971874736,20,293.8926261462367,78.21723252011527,0,493.8441702975689
208,414.5187862775209,20,279.59645173537336,52.26423163382642,0,497.2609476841367
209,424.0240480782129,20,264.95963211660256,26.167978121472338,0,499.3147673772869
210,433.0127018922194,20,249.99999999999986,2.755455298081545e-13,0,500.0
211,441.47379642946345,20,234.73578139294543,-26.16797812147179,0,499.3147673772869
212,449.3970231495834,20,219.18557339453892,-52.26423163382675,0,497.2609476841366
213,456.77272882130046,20,203.3683215379001,-78.2172325201156,0,493.84417029756884
214,463.5919272833936,20,187.3032967079562,-103.95584540887998,0,489.07380036690273
215,469.8463103929542,20,171.01007166283432,-129.40952255125995,0,482.96291314453424
216,475.52825814757676,20,154.50849718747386,-154.50849718747344,0,475.5282581475769
217,480.63084796915945,20,137.8186779084995,-179.18397477265003,0,466.79021324860094
218,485.14786313799823,20,120.96094779983396,-203.3683215379001,0,456.77272882130046
219,489.07380036690284,20,103.95584540887951,-226.99524986977355,0,445.5032620941838
220,492.403876506104,20,86.82408883346523,-250.00000000000028,0,433.0127018922192
221,495.1340343707851,20,69.58655048003297,-272.3195175075131,0,419.33528397271226
222,497.2609476841366,20,52.26423163382673,-293.89262614623635,0,404.5084971874739
223,498.7820251299121,20,34.87823687206285,-314.66019552491866,0,388.57298072848556
224,499.6954135095479,20,17.449748351250438,-334.5653031794291,0,371.5724127386971
225,500.0,20,1.5308084989341916e-13,-353.55339059327383,0,353.5533905932736
226,499.6954135095479,20,-17.449748351250577,-371.5724127386973,0,334.5653031794289
227,498.78202512991214,20,-34.878236872062544,-388.57298072848516,0,314.66019552491906
228,497.2609476841366,20,-52.264231633826874,-404.50849718747355,0,293.8926261462368
229,495.1340343707852,20,-69.58655048003267,-419.3352839727119,0,272.31951750751364
230,492.40387650610404,20,-86.82408883346493,-433.0127018922193,0,250.0
231,489.0738003669029,20,-103.95584540887923,-445.503262094184,0,226.99524986977326
232,485.1478631379982,20,-120.96094779983409,-456.7727288213005,0,203.36832153789982
233,480.63084796915945,20,-137.81867790849964,-466.7902132486007,0,179.18397477265054
234,475.5282581475768,20,-154.50849718747355,-475.5282581475767,0,154.508497187474
235,469.8463103929543,20,-171.01007166283404,-482.9629131445341,0,129.40952255126052
236,463.59192728339355,20,-187.30329670795632,-489.07380036690284,0,103.95584540887967
237,456.7727288213004,20,-203.36832153790021,-493.8441702975689,0,78.21723252011529
238,449.3970231495835,20,-219.18557339453864,-497.2609476841367,0,52.26423163382645
239,441.4737964294636,20,-234.73578139294514,-499.3147673772869,0,26.16797812147237
240,433.0127018922196,20,-249.9999999999996,-500.0,0,3.061616997868383e-13
